,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A1_Total_Costs,A1_Expected_Number_of_Deaths,A2_Total_Costs,A2_Expected_Number_of_Deaths,A3_Total_Costs,A3_Expected_Number_of_Deaths,A4_Total_Costs,A4_Expected_Number_of_Deaths,A5_Total_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
10,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,6,4,1,0,0,8,4,10,1,0,2,9,4,10,5,165003760.8990737,0.0,104403892.68698487,0.01631995346705714,109470478.8787428,0.0,26737343.80953755,0.0,158628413.89847872,0.0,729100000.0,0.0
11,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,9,0,0,9,9,5,8,6,10,10,5,10,0,6,85264360.79025151,0.0,229077389.44435617,0.004421007164992399,121501612.66543919,0.0,70583250.74890369,0.0,114533149.21491536,0.0,966500000.0,342.4624834149733
12,3,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,5,4,3,4,6,2,8,3,0,3,8,4,7,9,7,167798331.6592725,0.0,188821762.91688135,0.0,68945584.72862397,0.0,40301218.80180067,0.0,187045902.98919082,0.0,619900000.0,0.0
13,2,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,7,0,9,4,5,9,7,8,6,4,10,0,5,10,68139002.95605196,0.0,254143396.72084045,0.0,150742337.00081,0.0,52971758.58042717,0.0,140704184.27415642,0.0036156366981609745,910300000.0,1342.392215519508
14,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,4,9,6,7,7,2,3,0,0,0,7,4,3,0,2,239352618.1720796,0.0,234607981.1335356,0.0,24198032.45136138,0.0,29702113.18263451,0.0012433182859181609,67655066.59591237,0.004742267376139197,928200000.0,0.0
15,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,2,0,1,1,0,9,8,1,1,2,6,7,9,2,6,72222705.9376919,0.0,136513423.65546572,0.0037642227124625996,91311506.57453342,0.0,39453266.42170095,0.0,148712442.75225484,0.0,1207400000.0,0.0
16,3,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,6,10,0,0,1,2,8,8,4,10,1,8,10,2,0,177067681.2786764,0.0,96599220.02573943,0.001189729531896418,131268307.50785872,0.0,52541390.647821255,0.0,96767921.20487039,0.0,1719600000.0,575.133054338289
17,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,3,0,0,3,3,1,3,6,6,8,5,9,2,10,4,42291505.65437629,0.0,150234127.56291083,0.0007211881359179046,106458821.40540132,0.0025033391767775937,58673661.54754114,0.0,139751076.83835292,0.0,1149600000.0,131.81598601408697
18,3,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,6,4,8,4,3,4,1,5,5,8,7,3,5,0,9,226020801.4478343,0.0,175590686.05903777,0.0,100624294.82206297,0.002489099022843441,48761942.30122958,0.0,99507174.19214153,0.0,589200000.0,506.6647836001722
19,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,6,7,10,0,0,4,6,0,1,9,9,4,7,7,7,291277784.58616316,0.0,87992548.24536338,0.008842014329984799,56232105.137590505,0.0,60445675.36228208,0.0,170843112.07377303,0.0,928200000.0,684.9249668299466
20,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,10,1,10,9,2,5,4,10,4,9,4,3,6,5,4,278493692.73605245,0.0,233905370.80170685,0.0,119240897.8836577,0.0,44346404.0791356,0.0,133444280.33469805,0.0,448400000.0,0.0
21,3,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,9,8,8,5,10,4,0,6,2,0,1,6,0,2,188504836.94538477,0.0,313049284.64359426,0.0,62318902.73577461,0.0,15679707.210240979,8.103805490733441e-05,74011736.27191554,0.0,577200000.0,76.24229838360382
22,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,4,1,1,8,9,0,5,9,2,9,2,9,2,1,85246019.34861892,0.0,255844512.7117072,0.003044838896193646,94079727.59452671,0.008269595378167134,37348005.02737427,0.0,126662916.24481738,0.0,1089400000.0,513.447602824499
