,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A1_Total_Costs,A1_Expected_Number_of_Deaths,A2_Total_Costs,A2_Expected_Number_of_Deaths,A3_Total_Costs,A3_Expected_Number_of_Deaths,A4_Total_Costs,A4_Expected_Number_of_Deaths,A5_Total_Costs,A5_Expected_Number_of_Deaths,RfR_Total_Costs,Expected_Evacuation_Costs
10,3,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,6,9,2,0,8,0,5,4,5,2,3,7,1,0,165026199.05882242,0.0,137506218.87977147,0.0011155514519861553,80550790.188831,0.005407060208946535,30437086.103021316,0.0,75869639.77914998,0.0,1153600000.0,1619.861190959154
11,2,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,2,1,1,1,10,5,0,6,3,4,1,8,2,0,1,108385078.12519547,0.0,234380467.9693471,0.0012686828734140194,74572731.1688754,0.004417339505295133,35981071.86414978,0.0,62709987.55871245,0.0014226802128417594,795000000.0,1494.1130013166412
12,2,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,2,0,0,7,9,9,10,5,9,9,2,7,9,5,7,37255203.23710208,0.0,341226616.66060317,0.0,151735096.47011566,0.0,48703965.01871744,0.0,173478953.78566813,0.0,1268900000.0,0.0
13,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,4,4,2,1,2,0,3,2,5,3,10,6,9,10,146964228.41702226,0.0,131102923.88699363,9.10492334306976e-06,48716867.66610375,0.0,47739351.755448304,0.0,201552622.8315531,0.0,1719600000.0,0.6862454904673962
14,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,5,7,0,9,0,9,10,3,0,10,9,5,9,88511693.9986257,0.0,187169896.6435016,0.0,107549025.51036173,0.00556915559027089,30999615.481603835,0.0,187757394.89543524,0.0,904200000.0,188.46189528798294
15,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,8,10,0,0,4,8,6,10,0,9,5,7,8,4,200736896.04393244,0.0,81195831.17143068,0.003876052719724223,149139097.7548799,0.0,33121261.295656584,0.0,160758057.54018992,0.0,423600000.0,2153.3336718571745
16,3,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,7,1,9,2,1,0,1,6,3,7,2,5,2,10,0,221062672.08237413,0.0,85352069.23440504,0.000234802705860502,86413419.01525214,0.0008003923295499336,38515100.49678508,0.0,89798677.82913977,0.0,1428400000.0,270.27821073822827
17,4,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,9,10,5,4,9,5,2,8,8,1,4,10,6,0,0,316148499.5045892,0.0,248247732.72034854,0.0,117277581.85548912,0.0008149869278539039,41500732.98242529,8.069980233979705e-05,40273672.383724004,0.0,843600000.0,291.5820813593066
18,2,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,4,5,5,2,4,0,7,6,3,2,5,3,7,6,8,182614739.10721666,0.0,101495574.70448603,0.0002865117080187948,111398540.37373582,0.0,29865163.41970277,0.0,170155748.93936384,0.0,606200000.0,85.31265669431063
19,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,3,4,1,1,6,7,3,8,3,3,3,4,0,0,95213987.28559849,0.0,157304710.9220888,0.0037559590211097113,117010396.02083369,0.0,28144893.72451978,0.0,33377116.55719709,0.0,1184300000.0,284.02627466109897
20,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,4,9,1,3,7,10,0,1,9,0,6,0,0,9,9,195981028.55578184,0.0,268203422.0880007,0.0,71458990.18532026,0.0199562509548598,16207924.670412082,0.0022379114547156367,137960332.9880731,0.014315568677113881,702800000.0,0.0
21,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,5,0,3,0,1,7,9,8,6,0,6,6,2,4,7,104000676.5449382,0.0,122778057.28919262,0.0036252197233153927,146647649.3282984,0.0,27984209.217288204,0.0,117339881.88314871,0.0,862300000.0,280.4045553858702
22,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,3,0,6,3,0,10,3,9,1,7,0,7,5,3,0,109448217.91765803,0.0,157923303.39354035,0.0,99493932.7291793,0.0,32304948.475029543,0.0,72580607.18485624,0.0,869900000.0,0.0
23,4,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,9,5,5,6,3,0,5,4,10,5,6,3,7,5,0,244684931.93610114,0.0,124573879.8096008,0.0,119859369.81989479,0.0,38191150.24818995,0.0,90595441.88119246,0.0,977600000.0,0.0
24,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2,0,9,6,4,2,6,6,9,6,3,2,2,10,1,128446235.06223166,0.0,191239251.59600878,0.0,130586543.26096295,0.0,32849061.76758905,0.0,131446638.64044279,0.0017072162554101107,726000000.0,153.7764389005687
25,4,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,6,10,1,0,1,1,10,10,9,5,9,10,3,10,2,233037866.14786232,0.0,88119011.046669,0.0014376159408535,185605425.87235326,0.0,65159940.11498707,0.0,137382208.66605046,0.0,1031500000.0,798.3766296882982
26,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,3,0,7,9,10,1,1,0,9,9,8,2,9,7,76431543.68310125,0.0,357546765.5876926,0.0,41292219.28177295,0.0,72188468.0131757,0.0,148339045.17805016,0.0,1336200000.0,0.0
